,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,State,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,B.O.D. (mg/l) : Max : < 3 mg/l_imp,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,B.O.D. (mg/l) : Min : < 3 mg/l_imp,CONDUCTIVITY (µmhos/cm) : Max_imp,CONDUCTIVITY (µmhos/cm) : Mean_imp,CONDUCTIVITY (µmhos/cm) : Min_imp,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml_imp,TEMPERATURE ºC : Max_imp,TEMPERATURE ºC : Mean_imp,TEMPERATURE ºC : Min_imp,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml_imp
52,1.0,0.8,0.6,893.0,747.0,600.0,0.0,0.0,0.0,7.3,6.1,4.9,assam,32.0,29.3,26.5,4600.0,2300.0,0.0,7.4,6.9,6.4,1.0,0.8,0.6,893.0,747.0,600.0,0.0,0.0,0.0,32.0,29.3,26.5,4600.0,2300.0,0.0
53,0.6,0.6,0.6,893.0,515.0,136.0,91.0,46.0,0.0,4.9,4.0,3.0,assam,32.0,28.5,25.0,930.0,645.0,360.0,6.5,6.5,6.4,0.6,0.6,0.6,893.0,515.0,136.0,91.0,46.0,0.0,32.0,28.5,25.0,930.0,645.0,360.0
54,1.2,0.9,0.5,1036.0,883.0,729.0,2300.0,1150.0,0.0,0.5,0.3,0.1,assam,34.0,29.1,24.2,2301.0,1196.0,91.0,7.2,7.2,7.2,1.2,0.9,0.5,1036.0,883.0,729.0,2300.0,1150.0,0.0,34.0,29.1,24.2,2301.0,1196.0,91.0
55,1.1,0.8,0.4,613.0,539.0,465.0,0.0,0.0,0.0,3.1,3.0,2.8,assam,33.0,30.0,27.0,2300.0,1265.0,230.0,6.6,6.6,6.5,1.1,0.8,0.4,613.0,539.0,465.0,0.0,0.0,0.0,33.0,30.0,27.0,2300.0,1265.0,230.0
56,2.8,1.8,0.7,1904.0,1515.0,1126.0,0.0,0.0,0.0,1.9,1.6,1.2,assam,29.0,28.5,28.0,0.0,0.0,0.0,7.5,7.4,7.2,2.8,1.8,0.7,1904.0,1515.0,1126.0,0.0,0.0,0.0,29.0,28.5,28.0,0.0,0.0,0.0
57,3.9,2.2,0.4,668.0,566.0,464.0,0.0,0.0,0.0,0.2,0.2,0.2,assam,20.0,16.0,12.0,150.0,75.0,0.0,7.1,7.1,7.1,3.9,2.2,0.4,668.0,566.0,464.0,0.0,0.0,0.0,20.0,16.0,12.0,150.0,75.0,0.0
58,0.9,0.9,0.9,330.0,330.0,330.0,0.0,0.0,0.0,4.7,4.7,4.7,assam,12.0,12.0,12.0,430.0,430.0,430.0,6.5,6.5,6.5,0.9,0.9,0.9,330.0,330.0,330.0,0.0,0.0,0.0,12.0,12.0,12.0,430.0,430.0,430.0
59,0.5,0.5,0.4,417.0,363.0,309.0,0.0,0.0,0.0,1.6,1.1,0.5,assam,20.0,16.5,13.0,0.0,0.0,0.0,6.9,6.6,6.2,0.5,0.5,0.4,417.0,363.0,309.0,0.0,0.0,0.0,20.0,16.5,13.0,0.0,0.0,0.0
60,4.1,3.6,3.1,1190.0,662.0,134.0,910.0,455.0,0.0,4.0,2.3,0.6,assam,21.0,17.5,14.0,29000.0,14640.0,280.0,6.5,6.5,6.4,4.1,3.6,3.1,1190.0,662.0,134.0,910.0,455.0,0.0,21.0,17.5,14.0,29000.0,14640.0,280.0
61,,,,1140.0,1140.0,1140.0,11.0,11.0,11.0,0.0,0.0,0.0,bihar,22.0,22.0,22.0,22.0,22.0,22.0,7.1,7.1,7.1,3.1707964601769913,2.6238938053097334,2.198230088495573,1140.0,1140.0,1140.0,11.0,11.0,11.0,22.0,22.0,22.0,22.0,22.0,22.0
