,SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
254,ANDAMAN & NICOBAR ISLANDS,1989,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
257,ANDAMAN & NICOBAR ISLANDS,1990,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
260,ANDAMAN & NICOBAR ISLANDS,1991,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
263,ANDAMAN & NICOBAR ISLANDS,1992,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
266,ANDAMAN & NICOBAR ISLANDS,1993,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
269,ANDAMAN & NICOBAR ISLANDS,1994,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
272,ANDAMAN & NICOBAR ISLANDS,1995,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
275,ANDAMAN & NICOBAR ISLANDS,1996,No. of districts,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
278,ANDAMAN & NICOBAR ISLANDS,1997,No. of districts,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
281,ANDAMAN & NICOBAR ISLANDS,1998,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
284,ANDAMAN & NICOBAR ISLANDS,1999,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0
287,ANDAMAN & NICOBAR ISLANDS,2000,No. of districts,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
290,ANDAMAN & NICOBAR ISLANDS,2001,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
293,ANDAMAN & NICOBAR ISLANDS,2002,No. of districts,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
296,ANDAMAN & NICOBAR ISLANDS,2003,No. of districts,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0
299,ANDAMAN & NICOBAR ISLANDS,2004,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
302,ANDAMAN & NICOBAR ISLANDS,2005,No. of districts,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
305,ANDAMAN & NICOBAR ISLANDS,2006,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
308,ANDAMAN & NICOBAR ISLANDS,2007,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
311,ANDAMAN & NICOBAR ISLANDS,2008,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
