STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
2968,"SH. BHANA RAM KALAL, DHARU NAGAR, NEAR MAIN MANDIA ROAD, OPP. VILLAGE MANDIA, PALI, RAJASTHAN",Rajasthan,24,24,24,8.5,8.5,8.5,6100,6100,6100,2,2,2,2.9,2.9,2.9,4,4,4,7,7,7
2969,"M/S SPECIALTY SILICA LTD., MIA ALWAR AGRO FOOD PARK, ALWAR, RAJASTHAN",Rajasthan,28,28,28,7.5,7.5,7.5,860,860,860,1.7,1.7,1.7,1.4,1.4,1.4,4,4,4,7,7,7
2970,"RIICO TUBE WELL, RIA, BEHROR, RAJASTHAN",Rajasthan,28,28,28,7.5,7.5,7.5,1740,1740,1740,0.9,0.9,0.9,2.3,2.3,2.3,NA,NA,NA,4,4,4
2971,"RIICO TUBE WELL, RIA, SOTANALA, RAJASTHAN",Rajasthan,28,28,28,7.5,7.5,7.5,2000,2000,2000,0.8,0.8,0.8,1.4,1.4,1.4,NA,NA,NA,4,4,4
2972,"RIICO TUBE WELL, RIA, NEEMRANA, RAJASTHAN",Rajasthan,28,28,28,7.6,7.6,7.6,2500,2500,2500,0.8,0.8,0.8,1.1,1.1,1.1,NA,NA,NA,4,4,4
2973,"RIICO TUBE WELL, RIA, SHAHJAHANPUR, RAJASTHAN",Rajasthan,27,27,27,7.7,7.7,7.7,3000,3000,3000,0.9,0.9,0.9,1.6,1.6,1.6,NA,NA,NA,4,4,4
2974,"VILLAGE AGYARA, TEHSIL- RAMGARH, ALWAR, RAJASTHAN",Rajasthan,29,29,29,7.7,7.7,7.7,1390,1390,1390,0.8,0.8,0.8,1.8,1.8,1.8,NA,NA,NA,4,4,4
2975,"VILLAGE BAGER MEO, TEHSIL- RAMGARH, ALWAR, RAJASTHAN",Rajasthan,28,28,28,7.5,7.5,7.5,4200,4200,4200,0.9,0.9,0.9,2.2,2.2,2.2,NA,NA,NA,4,4,4
2976,"SUJAN GANGA AT KETAN GATE, BHARATPUR, RAJASTHAN",Rajasthan,23,25,24,7.5,8.4,8,5500,7800,6650,10.5,14.6,12.5,2.9,7,4.9,7,28,18,210,1100,655
2977,"WELL OF RAM CHANDRA DEWRA, VILLAGE- SANGARIA, JODHPUR, RAJASTHAN",Rajasthan,22,22,22,7.8,7.8,7.8,21000,21000,21000,14.9,14.9,14.9,6.2,6.2,6.2,NA,NA,NA,4,4,4
